gene	logFC	logCPM	PValue	FDR
Solyc00g007030	-1.0439338356463	0.173796000777653	0.18378148337776	0.449385971923635
Solyc00g007040	-1.61843363334845	-1.16830856469681	0.409755592139279	0.840333250447393
Solyc00g007050	0	-1.66887626930952	1	1
Solyc00g007060	0.163003606808887	3.04214675689157	0.575847228305849	1
Solyc00g007070	-0.265611955659557	6.23580072176865	0.135647703255174	0.35154013365242
Solyc00g007080	1.23168799185867	-1.00069675914619	0.516205707512051	0.982046433919743
Solyc00g007090	0.634579661597678	3.10698341640365	0.0328376710044295	0.106079423346123
Solyc00g007100	0.84463394240441	4.86886402851967	0.000129027180061731	0.000776555785442591
Solyc00g007110	0.775099301194954	2.61019991332705	0.0134137455984813	0.049183733861098
Solyc00g007120	0.518372788237021	2.99370161070756	0.114201107847857	0.303525323146527
Solyc00g007130	0.857947588987213	-0.0403990234548622	0.297539843641862	0.653797839416496
Solyc00g007140	0	-1.66887626930952	1	1
Solyc00g007150	-0.263892948797368	0.825309895644034	0.690417761433535	1
Solyc00g007160	0	-1.66887626930952	1	1
Solyc00g007170	-1.83809153469601	-1.55503822971758	0.999999999999994	1
Solyc00g007180	0	-1.66887626930952	1	1
Solyc00g007190	2.228491989175	0.273063891329437	0.00191246091033014	0.00878492460754428
Solyc00g007200	-1.26064425464588	-1.25364671215752	0.648647067819202	1
Solyc00g007210	0	-1.66887626930952	1	1
Solyc00g007220	1.04896805613405	5.2366282707741	3.62818800874356e-07	3.48247885515858e-06
Solyc00g007230	1.89229299969472	-1.5532780642627	1	1
Solyc00g007240	0	-1.66887626930952	1	1
Solyc00g007250	0	-1.66887626930952	1	1
Solyc00g007260	0.974892218484096	3.57349529771522	0.000453884343310408	0.00241600882742804
Solyc00g007270	0.880252330718545	7.75844308696862	3.36026983107695e-07	3.24234760833035e-06
Solyc00g007290	0	-1.66887626930952	1	1
Solyc00g007300	-1.54717704928854	6.0263922435132	2.52066478457629e-06	2.09114013315769e-05
Solyc00g007310	-1.83810273963385	-1.55503822971758	1	1
Solyc00g007320	0	-1.66887626930952	1	1
Solyc00g007330	0	-1.66887626930952	1	1
Solyc00g007340	0	-1.66887626930952	1	1
Solyc00g007350	0	-1.66887626930952	1	1
Solyc00g007450	0	-1.66887626930952	1	1
Solyc00g007550	0.0245129714333536	-1.4455126387157	1	1
Solyc00g007560	-1.24246581772301	-1.25681421400739	0.645376698256046	1
Solyc00g007570	1.90323445192177	-1.55243817593714	0.999999999999997	1
Solyc00g007580	0	-1.66887626930952	1	1
Solyc00g007590	0	-1.66887626930952	1	1
Solyc00g007600	-2.67733801719437	-1.44478053229641	0.533141309473311	0.996590902766731
Solyc00g007610	0	-1.66887626930952	1	1
Solyc00g007910	0	-1.66887626930952	1	1
Solyc00g007920	0	-1.66887626930952	1	1
Solyc00g007930	0	-1.66887626930952	1	1
Solyc00g007940	0	-1.66887626930952	1	1
Solyc00g007950	0	-1.66887626930952	1	1
Solyc00g007960	0	-1.66887626930952	1	1
Solyc00g007970	0	-1.66887626930952	1	1
Solyc00g007980	0	-1.66887626930952	1	1
Solyc00g007990	0	-1.66887626930952	1	1
Solyc00g008000	0	-1.66887626930952	1	1
Solyc00g008010	0	-1.66887626930952	1	1
Solyc00g008020	0	-1.66887626930952	1	1
Solyc00g008030	0	-1.66887626930952	1	1
Solyc00g008040	0	-1.66887626930952	1	1
Solyc00g008050	0	-1.66887626930952	1	1
Solyc00g008060	0	-1.66887626930952	1	1
Solyc00g008070	0	-1.66887626930952	1	1
Solyc00g008080	0	-1.66887626930952	1	1
Solyc00g008090	0	-1.66887626930952	1	1
Solyc00g008100	0	-1.66887626930952	1	1
Solyc00g008110	0	-1.66887626930952	1	1
Solyc00g008120	0	-1.66887626930952	1	1
Solyc00g008130	0	-1.66887626930952	1	1
Solyc00g008140	0	-1.66887626930952	1	1
