gene	logFC	logCPM	PValue	FDR
Solyc00g005140	-4.90283625366163	-0.731284329813276	0.00231185488524604	0.0104034967733497
Solyc00g007190	2.228491989175	0.273063891329437	0.00191246091033014	0.00878492460754428
Solyc00g026160	-5.112239854126	-0.616048496436028	0.001235203299711	0.00596508204548241
Solyc00g028760	2.33027832592151	0.696877182959773	0.0128821692948019	0.0474380106279138
Solyc00g042840	2.99667546040492	-0.252906290135556	0.00179343385297188	0.00829800738147162
Solyc00g053440	2.44910085270941	7.37821622521412	9.20074845351993e-34	1.26791425216423e-31
Solyc00g136560	-2.95391180336528	2.40528240632471	7.46448118230915e-15	2.01570014010925e-13
Solyc00g144470	2.6922317871338	1.99780315745313	1.29324965861524e-10	2.08208998121148e-09
Solyc00g187050	2.55393664608534	2.52755063993845	3.88425682296856e-07	3.70674874117145e-06
Solyc00g206460	3.8909920824124	6.02189241415018	1.10587797570357e-52	4.80047805778223e-50
Solyc00g217560	5.61411064880594	-0.385323991158978	0.00122989476621444	0.00594440578237007
Solyc00g218560	-2.16378175374518	-0.088891015146178	0.00721928419532162	0.0286224548750924
Solyc00g231780	-3.34540204524646	0.403610651957863	0.000106743940213886	0.00065296755536509
Solyc00g272810	6.01400423573869	2.94189733260862	2.19720559814722e-35	3.36133739237263e-33
Solyc01g005120	-2.24716659197357	2.78498877478029	3.86817775055119e-08	4.3276484775577e-07
Solyc01g005150	5.18143678004951	-0.607603383479382	0.000597578318143182	0.00310417663114623
Solyc01g005160	4.42210578590139	3.66421155728186	3.40009851202069e-20	1.52355123905732e-18
Solyc01g005220	-2.69558314918803	4.75543780294423	2.78881534806217e-23	1.64706106449243e-21
Solyc01g005260	-2.40471228420865	0.624090067185113	8.66007725487227e-05	0.000539538038805076
Solyc01g005410	4.53469314881813	4.94952154867268	1.67262283628177e-21	8.51688757119607e-20
Solyc01g005420	4.75044840920461	0.33991531699793	3.2753167651163e-07	3.16653466876931e-06
Solyc01g005500	-5.69223587005282	1.92818484835161	4.11525646283709e-09	5.33533025335377e-08
Solyc01g005560	3.36934782481094	9.62358091346357	1.75297434040605e-55	9.22356665443648e-53
Solyc01g005570	-2.98011763897223	2.22897628281072	1.91041275321757e-13	4.40523928824611e-12
Solyc01g005660	2.42145260341643	0.971957230608121	4.69624689565703e-05	0.000307884776185542
Solyc01g005720	-2.86110250140581	0.348601211639434	6.36826893386368e-05	0.000407351031987998
Solyc01g005730	-2.07629912412715	0.259675324796495	0.00314053156929142	0.0136857288477573
Solyc01g005740	-5.31450202398985	-0.506394610730786	0.000433783116632199	0.00232218071393346
Solyc01g005760	-2.89048178860001	3.45449627621175	1.5316366632412e-18	5.92967072512567e-17
Solyc01g005800	3.41211173868701	2.28730828459091	1.48488740259439e-10	2.36974654549152e-09
Solyc01g006400	-2.7303174069813	0.520845634288663	0.00354511884063919	0.0152478749044931
Solyc01g006540	-2.96146013399794	6.2968844371645	2.23440210642286e-10	3.48267872305865e-09
Solyc01g006550	-5.08059543578432	-0.620650684606968	0.00271460106045826	0.0120165648217379
Solyc01g006600	-2.69837088257476	1.23362820897306	1.36287059051812e-05	9.92834214326049e-05
